City,Temperature,Humidity,Weather
London,6.05,95,light intensity drizzle
New York,-1.69,43,clear sky
Tokyo,7.42,44,broken clouds
Delhi,15.05,47,haze
Sydney,29.32,56,clear sky
Cairo,15.42,94,mist
Paris,2.97,86,overcast clouds
Moscow,-5.25,66,overcast clouds
Rio,9.86,84,clear sky
Cape Town,17.25,70,light rain
